Age,M,F
0-4,16085728,15704718
5-9,13706056,13326113
10-14,11551008,11161761
15-19,9540775,9228248
20-24,8009537,7781396
25-29,6767430,6649619
30-34,5990026,5912863
35-39,5078928,5007316
40-44,4019768,3962492
45-49,3176560,3156713
50-54,2586315,2613813
55-59,2051088,2122502
60-64,1570928,1666174
65-69,1157553,1226937
70-74,801468,858478
75-79,446960,495490
80-84,193716,225508
85-89,58517,74612
90-94,10185,15680
95-99,850,1802
100+,33,110
