Age,M,F
0-4,9490675,9058444
5-9,10292851,9791325
10-14,10909742,10300652
15-19,11727116,11040789
20-24,11682168,10960131
25-29,11686741,10907859
30-34,12583866,11760932
35-39,12313307,11544730
40-44,11854780,11212307
45-49,10754797,10265424
50-54,10598028,10239596
55-59,10491668,10336471
60-64,10776307,10915257
65-69,9554799,10194228
70-74,7557789,8458895
75-79,5567297,6538489
80-84,3234076,4240896
85-89,1651225,2488165
90-94,656531,1207533
95-99,151309,359344
100+,16449,53570
